ano,unidade,mes,mes_num,secao,indicador,valor,data
2022,unidade_1,JUN,6,Desdobramentos Técnicos,Evasão,0.0,2022-06-01
2022,unidade_1,JUL,7,Desdobramentos Técnicos,Evasão,1.0,2022-07-01
2022,unidade_1,AGO,8,Desdobramentos Técnicos,Evasão,0.0,2022-08-01
2022,unidade_1,SET,9,Desdobramentos Técnicos,Evasão,4.0,2022-09-01
2022,unidade_1,OUT,10,Desdobramentos Técnicos,Evasão,3.0,2022-10-01
2022,unidade_1,NOV,11,Desdobramentos Técnicos,Evasão,4.0,2022-11-01
2022,unidade_1,DEZ,12,Desdobramentos Técnicos,Evasão,6.0,2022-12-01
2023,unidade_1,JAN,1,Desdobramentos Técnicos,Evasão,2.0,2023-01-01
2023,unidade_1,FEV,2,Desdobramentos Técnicos,Evasão,4.0,2023-02-01
2023,unidade_1,MAR,3,Desdobramentos Técnicos,Evasão,4.0,2023-03-01
2023,unidade_1,ABR,4,Desdobramentos Técnicos,Evasão,5.0,2023-04-01
2023,unidade_1,MAI,5,Desdobramentos Técnicos,Evasão,4.0,2023-05-01
2023,unidade_1,JUN,6,Desdobramentos Técnicos,Evasão,2.0,2023-06-01
2023,unidade_1,JUL,7,Desdobramentos Técnicos,Evasão,2.0,2023-07-01
2023,unidade_1,AGO,8,Desdobramentos Técnicos,Evasão,2.0,2023-08-01
2023,unidade_1,SET,9,Desdobramentos Técnicos,Evasão,2.0,2023-09-01
2023,unidade_1,OUT,10,Desdobramentos Técnicos,Evasão,2.0,2023-10-01
